T&D :- 11/02/2023 12:07:04 | EURUSD-OTC |  | WIN | put | 1914.9360000000006 | Counter :- 181 | 4924.49
T&D :- 11/02/2023 12:08:04 | EURUSD-OTC |  | LOSS | put | 1 | Counter :- 182 | 8844.62
T&D :- 11/02/2023 12:09:04 | EURUSD-OTC |  | LOSS | put | 1 | Counter :- 183 | 8844.52
T&D :- 11/02/2023 12:10:04 | EURUSD-OTC |  | LOSS | put | 1 | Counter :- 184 | 8844.41
T&D :- 11/02/2023 12:11:04 | EURUSD-OTC |  | WIN | put | 1991.759999999999 | Counter :- 185 | 6855.43
T&D :- 11/02/2023 12:12:04 | EURUSD-OTC |  | LOSS | put | 1 | Counter :- 186 | 6853.43
T&D :- 11/02/2023 12:13:04 | EURUSD-OTC |  | WIN | put | 4383.204 | Counter :- 187 | 2471.12
T&D :- 11/02/2023 12:14:04 | EURUSD-OTC |  | LOSS | put | 1 | Counter :- 188 | 2472.01
T&D :- 11/02/2023 12:15:04 | EURUSD-OTC |  | WIN | put | 9640.908 | Counter :- 189 | 2473.9
T&D :- 11/02/2023 12:42:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 1 | 2474.69
T&D :- 11/02/2023 12:43:03 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 1 | 2466.58
T&D :- 11/02/2023 12:44:04 | EURUSD-OTC |  | LOSS | call | 5 | Counter :- 2 | 2461.58
T&D :- 11/02/2023 12:45:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 2 | 2470.04
T&D :- 11/02/2023 12:46:04 | EURUSD-OTC |  | WIN | call | 10 | Counter :- 2 | 2461.93
T&D :- 11/02/2023 12:47:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 2 | 2465.86
T&D :- 11/02/2023 12:48:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 3 | 2460.86
T&D :- 11/02/2023 12:49:04 | EURUSD-OTC |  | LOSS | call | 12 | Counter :- 4 | 2448.86
T&D :- 11/02/2023 12:50:04 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 5 | 2418.86
T&D :- 11/02/2023 12:51:03 | EURUSD-OTC |  | LOSS | put | 64 | Counter :- 1 | 2354.86
T&D :- 11/02/2023 12:52:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 1 | 2474.95
T&D :- 11/02/2023 12:53:04 | EURUSD-OTC |  | LOSS | call | 5 | Counter :- 2 | 2469.95
T&D :- 11/02/2023 12:54:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 2 | 2478.41
T&D :- 11/02/2023 12:55:05 | EURUSD-OTC |  | WIN | call | 10 | Counter :- 2 | 2470.3
T&D :- 11/02/2023 12:56:04 | EURUSD-OTC |  | LOSS | call | 5 | Counter :- 3 | 2465.3
T&D :- 11/02/2023 12:57:04 | EURUSD-OTC |  | WIN | call | 1 | Counter :- 3 | 2473.76
T&D :- 11/02/2023 12:58:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 4 | 2468.76
T&D :- 11/02/2023 12:59:04 | EURUSD-OTC |  | WIN | call | 1 | Counter :- 4 | 2477.22
T&D :- 11/02/2023 13:00:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 5 | 2472.22
T&D :- 11/02/2023 13:01:04 | EURUSD-OTC |  | WIN | call | 1 | Counter :- 5 | 2480.68
T&D :- 11/02/2023 13:02:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 5 | 2472.58
T&D :- 11/02/2023 13:03:04 | EURUSD-OTC |  | WIN | call | 15 | Counter :- 5 | 2476.5
T&D :- 11/02/2023 13:04:03 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 5 | 2494.88
T&D :- 11/02/2023 13:05:04 | EURUSD-OTC |  | WIN | call | 9 | Counter :- 5 | 2504.8
T&D :- 11/02/2023 13:06:04 | EURUSD-OTC |  | LOSS | call | 5 | Counter :- 1 | 2499.8
T&D :- 11/02/2023 13:07:04 | EURUSD-OTC |  | WIN | call | 1 | Counter :- 1 | 2508.26
T&D :- 11/02/2023 13:08:03 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 2 | 2503.26
T&D :- 11/02/2023 13:09:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 3 | 2491.26
T&D :- 11/02/2023 13:10:04 | EURUSD-OTC |  | LOSS | call | 30 | Counter :- 4 | 2461.26
T&D :- 11/02/2023 13:11:04 | EURUSD-OTC |  | LOSS | put | 64 | Counter :- 5 | 2397.26
T&D :- 11/02/2023 13:12:04 | EURUSD-OTC |  | WIN | call | 1 | Counter :- 5 | 2517.35
T&D :- 11/02/2023 13:13:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 5 | 2509.25
T&D :- 11/02/2023 13:14:03 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 1 | 2504.25
T&D :- 11/02/2023 13:15:04 | EURUSD-OTC |  | LOSS | call | 12 | Counter :- 2 | 2492.25
T&D :- 11/02/2023 13:16:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 2 | 2513.95
T&D :- 11/02/2023 13:17:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 3 | 2508.95
T&D :- 11/02/2023 13:18:04 | EURUSD-OTC |  | LOSS | call | 12 | Counter :- 4 | 2496.95
T&D :- 11/02/2023 13:19:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 4 | 2518.66
T&D :- 11/02/2023 13:20:04 | EURUSD-OTC |  | WIN | call | 10 | Counter :- 4 | 2510.55
T&D :- 11/02/2023 13:21:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 5 | 2505.55
T&D :- 11/02/2023 13:22:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 1 | 2493.55
T&D :- 11/02/2023 13:23:04 | EURUSD-OTC |  | LOSS | call | 30 | Counter :- 2 | 2463.55
T&D :- 11/02/2023 13:24:04 | EURUSD-OTC |  | LOSS | call | 64 | Counter :- 3 | 2399.55
T&D :- 11/02/2023 13:25:04 | EURUSD-OTC |  | LOSS | put | 124 | Counter :- 4 | 2275.55
T&D :- 11/02/2023 13:26:03 | EURUSD-OTC |  | LOSS | call | 250 | Counter :- 5 | 2025.55
T&D :- 11/02/2023 13:27:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 5 | 2497.6
T&D :- 11/02/2023 13:28:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 1 | 2492.6
T&D :- 11/02/2023 13:29:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 1 | 2501.06
